LIEU;CODE POSTAL;REV MÉDIAN INDIV 2005;REV MÉDIAN INDIV 2015;CHG;REV MÉDIAN MÉNAGES 2005;REV MÉDIAN MÉNAGES 2015;CHG;REV MÉDIAN FAM 2005;REV MÉDIAN FAM 2015;CHG
Pointe-Claire;H9R;30407;37582;0,24;66127;80064;0,21;81316;100198;0,23
Pointe-aux-Trembles;H1A;27001;35303;0,31;52087;62608;0,2;64269;80448;0,25
Pont-Rouge;G3H;27239;38099;0,4;56210;71151;0,27;65860;86037;0,31
Pont-Viau;H7G;24545;31317;0,28;44521;58752;0,32;59101;75170;0,27
Port-Cartier;G5B;29693;39613;0,33;59951;78165;0,3;76670;99520;0,3
Québec;G2C;33246;43503;0,31;61116;72612;0,19;73775;93888;0,27
Québec et L'Ancienne-Lorette;G2E;30532;40237;0,32;61895;76254;0,23;72806;93993;0,29
Repentigny;J5Y;33968;41780;0,23;74650;89408;0,2;82555;101910;0,23
Repentigny;J6A;28308;35524;0,25;57879;69089;0,19;69461;86649;0,25
Repentigny ouest;J5Z;30385;37288;0,23;60621;72442;0,19;70363;86882;0,23
Rimouski;G5L;22032;30594;0,39;37795;47345;0,25;53686;73166;0,36
Rimouski;G5M;31138;41350;0,33;62068;76337;0,23;68900;88785;0,29
Rimouski;G5N;30423;40601;0,33;61393;78208;0,27;72857;92526;0,27
Rivière-des-Prairies;H1C;29264;36786;0,26;70145;86949;0,24;74690;95760;0,28
Rivière-des-Prairies;H1E;23254;28969;0,25;49711;61012;0,23;60355;75221;0,25
Rivière-du-Loup;G5R;21239;32724;0,54;42339;53120;0,25;54724;76370;0,4
Roberval;G8H;23239;31080;0,34;42677;52487;0,23;57137;73413;0,28
Rock Forest;J1N;30541;39949;0,31;59487;73921;0,24;68865;88519;0,29
Rosemont;H1T;23475;29836;0,27;37301;47448;0,27;54445;68352;0,26
Rosemont;H1X;22729;30019;0,32;36231;45289;0,25;51221;67997;0,33
Rosemont;H1Y;23888;34974;0,46;36510;50548;0,38;52913;79460;0,5
Rouyn-Noranda;J9X;23400;32155;0,37;39304;51079;0,3;55984;78487;0,4
Rouyn-Noranda;J9Y;30916;42341;0,37;65716;91768;0,4;71068;102242;0,44
Roxboro;H8Y;24673;29675;0,2;50650;61483;0,21;62457;76526;0,23
Région d'Akwesasne;H0M;-;15040;-;-;32384;-;-;37632;-
Région d'Oka;J0N;27394;36941;0,35;57617;73793;0,28;63224;85946;0,36
Région de Beauce;G0M;21565;30480;0,41;42789;55755;0,3;52012;70447;0,35
Saguenay–Lac-Saint-Jean;G0V;21024;32454;0,54;46420;64678;0,39;52797;73460;0,39
Saint-Ambroise;G7P;24539;34982;0,43;52495;68096;0,3;58095;79136;0,36
Saint-Augustin-de-Desmaures;G3A;36360;-;-;83065;101423;0,22;93737;118046;0,26
Saint-Basile-le-Grand;J3N;34119;45667;0,34;72202;92224;0,28;79571;107008;0,34
Saint-Colomban;J5K;29591;39007;0,32;58630;81141;0,38;63396;92102;0,45
Saint-Constant;J5A;32229;40521;0,26;69710;86644;0,24;76670;97483;0,27
Saint-Cyrille-de-Wendover;J1Z;23818;33126;0,39;48597;65088;0,34;56762;74555;0,31
Saint-Eustache;J7P;27969;35287;0,26;55503;66081;0,19;66334;81418;0,23
Saint-Eustache;J7R;29121;36223;0,24;57821;71325;0,23;68916;88172;0,28
Saint-François;H7B;30143;38891;0,29;66489;84297;0,27;80858;93227;0,15
Saint-Félicien;G8K;22594;31927;0,41;45791;56930;0,24;57982;75709;0,31
Saint-Georges;G5Y;23297;30348;0,3;43159;49847;0,15;55952;70692;0,26
Saint-Georges;G5Z;27903;37347;0,34;48222;67840;0,41;65906;83619;0,27
Saint-Georges;G6A;29386;43627;0,48;59564;81856;0,37;63693;94501;0,48
Saint-Henri;H4C;17833;30660;0,72;32372;49472;0,53;40362;68470;0,7
Saint-Hippolyte;J8A;27625;35531;0,29;52507;67005;0,28;62622;80839;0,29
Saint-Hubert;J3Y;27667;36848;0,33;59577;74552;0,25;68767;87796;0,28
Saint-Hubert;J3Z;34899;45166;0,29;80077;114716;0,43;84753;119150;0,41
Saint-Hubert;J4T;22591;29363;0,3;42427;51986;0,23;52073;66778;0,28
Saint-Hyacinthe;J2R;28279;36416;0,29;57035;69632;0,22;64827;82923;0,28
Saint-Hyacinthe;J2S;21785;27899;0,28;36400;43339;0,19;51387;65889;0,28
Saint-Hyacinthe;J2T;25741;33217;0,29;48212;57116;0,18;60356;73728;0,22
Saint-Jean-sur-Richelieu;J2X;25198;34295;0,36;47905;64403;0,34;58375;80671;0,38
Saint-Jean-sur-Richelieu;J2Y;28783;37696;0,31;59616;78882;0,32;65616;89856;0,37
Saint-Jean-sur-Richelieu;J3A;20272;26217;0,29;30709;38176;0,24;43788;58423;0,33
Saint-Jean-sur-Richelieu;J3B;23551;31371;0,33;41341;52567;0,27;55069;72821;0,32
Saint-Jérôme;J5L;28806;38457;0,34;59099;76429;0,29;68839;89263;0,3
Saint-Jérôme;J7Y;23488;28537;0,21;40389;47522;0,18;52814;65038;0,23
